iteration index,attribute index,threshold,direction,boosting parameter
0,11,8.0,-1,1.31163895476
1,10,7.0,-1,1.38985743361
2,11,7.0,-1,0.575464575708
3,9,7.0,1,0.77626700644
4,10,6.0,-1,0.533765446038
5,13,9.0,-1,0.672061582829
6,8,6.0,1,0.539488162231
7,10,6.0,-1,0.358240594393
8,14,3.0,1,0.433464863055
9,15,7.0,1,0.481407047078
10,11,7.0,-1,0.47441014323
11,1,10.0,-1,0.438185328807
12,6,7.0,1,0.303535571307
13,13,8.0,-1,0.409858177564
14,14,3.0,1,0.323704579142
15,10,5.0,-1,0.434417245143
16,10,8.0,-1,0.366890565988
17,11,6.0,-1,0.380858531278
18,9,7.0,1,0.359856468479
19,10,6.0,-1,0.267145814071
20,12,8.0,-1,0.378940674528
21,11,7.0,-1,0.321091192303
22,0,6.0,-1,0.32901444574
23,15,7.0,1,0.244399739425
24,14,6.0,1,0.286287685677
25,12,8.0,-1,0.270207505668
26,13,7.0,-1,0.284128754525
27,0,9.0,-1,0.275711702025
28,10,6.0,-1,0.329981966715
29,6,7.0,1,0.261121950099
30,11,9.0,-1,0.236393417779
31,10,5.0,-1,0.268790364259
32,14,3.0,1,0.295981671192
33,1,8.0,-1,0.239914115605
34,12,4.0,1,0.277155089974
35,1,11.0,1,0.322094413081
36,12,6.0,-1,0.277241043858
37,15,7.0,1,0.223243604798
38,8,6.0,1,0.253999272112
39,14,9.0,1,0.233215602032
40,10,8.0,-1,0.309102278491
41,13,7.0,-1,0.233138258205
42,0,9.0,-1,0.250957137261
43,11,7.0,-1,0.28716418963
44,9,7.0,1,0.267412348076
45,10,6.0,-1,0.253622399594
46,12,8.0,-1,0.229537707184
47,13,8.0,-1,0.234679102398
48,1,8.0,-1,0.215841755138
